,HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
0,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,346017
1,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,150442
2,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,61946
3,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,165486
4,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,311504
5,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,118584
6,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,326548
7,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,143362
8,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,172566
9,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,99823
10,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,211504
11,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,305309
12,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,145132
13,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,209734
14,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,168141
15,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,144752
16,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,389380
17,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,347787
18,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,263345
19,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,207079
20,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274
21,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,200000
